Name,Team,Pos,P Rk,Rookie,Rank,ADP,+/-,id
Christian McCaffrey,SF,RB,RB1,,1,1.2,0.2,3354e895-8aaa-4c24-ade4-d460f20a7a36
Tyreek Hill,MIA,WR,WR1,,2,3.4,1.4,023cc2b9-e246-408f-9e28-3dcc23874336
CeeDee Lamb,DAL,WR,WR2,,3,2.4,-0.6,f755e72a-eee7-4ef7-9616-a74ba99538f8
Justin Jefferson,MIN,WR,WR3,,4,3.8,-0.2,7f32ee21-248e-45e6-ac16-8353b3220822
Ja'Marr Chase,CIN,WR,WR4,,5,5.0,0.0,6b44c699-3ddc-44cb-90be-1f5a734464e8
Breece Hall,NYJ,RB,RB2,RB,6,6.1,0.1,59491863-9d3c-4081-8431-e0ee5116e910
Amon-Ra St. Brown,DET,WR,WR5,,7,6.8,-0.2,e3b1a79d-1701-46d6-a13e-a65363c3727d
Puka Nacua,LA,WR,WR6,,8,8.8,0.8,44790f8d-3346-440d-88a2-891739228933
Bijan Robinson,ATL,RB,RB3,,9,8.5,-0.5,2b7e60f4-f21c-4531-82f3-cf154fd1483e
Jahmyr Gibbs,DET,RB,RB4,,10,10.6,0.6,eb44550a-f497-4536-8df3-569ec5e74620
A.J. Brown,PHI,WR,WR7,,11,12.4,1.4,a6b9aba5-3c16-4096-82ee-916bb3d71a4d
Garrett Wilson,NYJ,WR,WR8,,12,12.1,0.1,fdbd05e0-1010-42a7-a112-0c119c6d790c
Kyren Williams,LA,RB,RB5,,13,12.0,-1.0,d2045dd5-b8ca-49df-841b-dda77f020f98
De'Von Achane,MIA,RB,RB6,,14,17.3,3.3,0fad0606-9288-4548-a42b-fb46f338c07d
Josh Allen,BUF,QB,QB1,,15,19.2,4.2,ecb34925-abf0-422a-8b94-670900e0161e
DJ Moore,CHI,WR,WR9,,16,16.7,0.7,793bb4c9-c5c3-4f7d-af1e-d54119f9e0b2
Rashee Rice,KC,WR,WR10,,17,20.8,3.8,77af1086-4a27-4dbc-9932-40ce6436b0cb
Marvin Harrison Jr.,FA,WR,WR11,Rookie,18,18.0,0.0,b8c53f9d-02ef-4505-b6fb-5b3839710e8d
Deebo Samuel,SF,WR,WR12,,19,20.9,1.9,c9f316cd-da47-4da1-90d0-7cc7e428fdc1
Brandon Aiyuk,SF,WR,WR13,,20,22.1,2.1,373627bc-9000-4e24-8f48-ae77c95361b6
Nico Collins,HOU,WR,WR14,,21,15.8,-5.2,ad2c4f6e-228d-4a99-a7dd-33d71552a2d8
Tank Dell,HOU,WR,WR15,,22,27.9,5.9,698b974b-7417-496b-a135-86809938dfa4
Stefon Diggs,BUF,WR,WR16,,23,24.8,1.8,6ddc37c5-14ea-4515-93cd-6691278369d0
Jonathan Taylor,IND,RB,RB7,,24,14.7,-9.3,15720fc8-f603-4cdc-bc60-a5016270547a
Chris Olave,NO,WR,WR17,,25,26.0,1.0,569982e1-3db4-40c9-8471-aece72fe2e65
Jalen Hurts,PHI,QB,QB2,,26,35.0,9.0,f9d5f7b1-89c4-4245-83bd-09651236ba49
Davante Adams,LV,WR,WR18,,27,24.9,-2.1,a88a11e3-6050-4fb0-9013-3858ab0b8f3e
Jaylen Waddle,MIA,WR,WR19,,28,37.3,9.3,468f85a9-75b8-4a36-9025-f5ab5b746c96
Mike Evans,TB,WR,WR20,,29,33.5,4.5,1e12a825-4277-4cf2-98f2-6f8e5045362b
Lamar Jackson,BAL,QB,QB3,,30,39.6,9.6,bcebc6c3-0985-49fd-9ac3-7d98b9d61350
Malik Nabers,FA,WR,WR21,Rookie,31,35.4,4.4,1d0c2913-f67a-4400-a950-6143db4d0bc3
James Cook,BUF,RB,RB8,,32,42.3,10.3,85741a3f-c97c-42a0-94fd-ca92d7eda09f
Keenan Allen,LAC,WR,WR22,,33,36.1,3.1,a8a9a318-c6d4-4cd9-8eb2-cb901e24f6ac
Saquon Barkley,NYG,RB,RB9,,34,23.2,-10.8,0c8a3ba1-abbe-4a36-9dc2-ef1a8d290a87
Cooper Kupp,LA,WR,WR23,,35,41.8,6.8,e5ebecd5-d2d2-45c2-8f86-764bd770f0a7
Sam LaPorta,DET,TE,TE1,,36,29.1,-6.9,3716b4ab-3fa9-4472-b68d-5d5ccd3ca5b2
DK Metcalf,SEA,WR,WR24,,37,32.6,-4.4,307ec23e-7eda-4745-84ad-e84b20501a3e
Michael Pittman Jr.,IND,WR,WR25,,38,27.8,-10.2,b0e35c8c-b27c-4b8b-93d3-22dcc20614b2
Travis Etienne Jr.,JAX,RB,RB10,,39,29.6,-9.4,a4a4e2ca-a9cd-4337-99f9-7a20564948ff
Amari Cooper,CLE,WR,WR26,,40,47.4,7.4,1b4d78a9-6982-4d72-af95-aeac6bebf01d
DeVonta Smith,PHI,WR,WR27,,41,35.4,-5.6,60390bd0-a16c-469d-a794-ed9c90c984b6
Drake London,ATL,WR,WR28,,42,43.0,1.0,9a70a362-bab2-4b50-9d0a-c60560c9e788
Patrick Mahomes,KC,QB,QB4,,43,46.4,3.4,35e6f7ea-65e5-4e89-b1a6-ceffa8feaf4e
Isiah Pacheco,KC,RB,RB11,,44,34.2,-9.8,0ee5d13f-ef23-427e-a5f0-809cf9f80fb7
Rachaad White,TB,RB,RB12,,45,39.5,-5.5,f9dd9d21-e105-4ee2-b050-731cc9872135
Tee Higgins,CIN,WR,WR29,,46,43.1,-2.9,0a1bb6c0-c8c7-4ba4-9af1-ecc25135d121
Travis Kelce,KC,TE,TE2,,47,47.2,0.2,02d87faf-1826-421d-bfc5-c4daf69cd7ee
Zay Flowers,BAL,WR,WR30,,48,44.6,-3.4,6c58b7f9-d5d8-4776-8be2-cb14d0d66d75
Mark Andrews,BAL,TE,TE3,,49,54.6,5.6,8eca1005-22f9-44eb-8873-b1c3c6644a5c
C.J. Stroud,HOU,QB,QB5,,50,51.5,1.5,a3e8e795-f5d4-47e5-bd98-037a996bdaf4
Anthony Richardson,IND,QB,QB6,,51,53.4,2.4,b66582ab-a458-4716-8a40-d173649defed
Rome Odunze,FA,WR,WR31,Rookie,52,56.8,4.8,2bee353e-20df-42f5-a3bb-b0289e5960c8
Terry McLaurin,WAS,WR,WR32,,53,60.1,7.1,dc701f04-11a0-4765-a32f-e7cf39bc2592
Trey McBride,ARI,TE,TE4,,54,53.0,-1.0,663ba124-bfc0-42f8-b69f-99d64680904e
Jayden Reed,GB,WR,WR33,,55,51.7,-3.3,5e113ba1-06f0-419a-b14f-c64882146a73
Kenneth Walker III,SEA,RB,RB13,,56,49.9,-6.1,430eee78-3ba3-470a-af52-353bc4c85d5d
George Kittle,SF,TE,TE5,,57,64.7,7.7,2d98f648-538e-4b42-9fa0-5a040a26b32e
Christian Kirk,JAX,WR,WR34,,58,66.8,8.8,c051e5bf-9340-49a8-86b0-7c31a4f3e879
Jordan Addison,MIN,WR,WR35,,59,53.4,-5.6,fc5897cf-3336-4d23-9ca1-15468a16e8ca
Dalton Kincaid,BUF,TE,TE6,,60,67.1,7.1,1a15fd0a-ecf8-444f-b904-57af9f0770d4
Aaron Jones,GB,RB,RB14,,61,66.0,5.0,0cdb4fde-5996-4482-8065-47c02e032afe
Josh Jacobs,LV,RB,RB15,,62,56.9,-5.1,0dd35051-f520-43a8-9720-f58e29cd5c92
Joe Burrow,CIN,QB,QB7,,63,74.5,11.5,2e9ffc5a-b6fd-4cb3-9983-34432c93be06
Dak Prescott,DAL,QB,QB8,,64,74.4,10.4,f8744ff2-a44d-40c8-840e-03bfb34a2a2a
Calvin Ridley,JAX,WR,WR36,,65,57.0,-8.0,b74d6e6f-da5a-410a-935a-e8bf1615911d
Alvin Kamara,NO,RB,RB16,,66,59.8,-6.2,77f2f769-8ee8-4c56-92ec-76bd7f64ac6a
Brock Bowers,FA,TE,TE7,Rookie,67,77.9,10.9,384307ad-a7e5-4cf1-9e34-deaca6bb4fd9
Austin Ekeler,LAC,RB,RB17,,68,72.1,4.1,28861c61-9492-40e5-83e4-d46a23706489
Derrick Henry,TEN,RB,RB18,,69,62.5,-6.5,a7b7bd41-010d-4817-bdaf-cc5f66134ad6
Jaxon Smith-Njigba,SEA,WR,WR37,,70,61.3,-8.7,04da8e02-3574-47e9-b2ed-6d025a3b40d2
Chris Godwin,TB,WR,WR38,,71,75.5,4.5,96297b3d-62ef-4cbf-b4a1-439ebc179017
George Pickens,PIT,WR,WR39,,72,64.0,-8.0,c27e25ae-aad5-41e9-a691-15af1793f7a5
DeAndre Hopkins,TEN,WR,WR40,,73,81.0,8.0,6ef6336c-a28a-4334-8e6c-bcfc6762543a
Brian Thomas Jr.,FA,WR,WR41,Rookie,74,80.7,6.7,a0197151-c1de-4a2e-8fa8-e2312cf1e0b1
Justin Fields,CHI,QB,QB9,,75,78.9,3.9,18a071cd-0b31-40b6-82af-863c3337c9a0
Najee Harris,PIT,RB,RB19,,76,85.3,9.3,d78cd8cb-b008-421b-8b7e-bb7f0ddaf30a
Tyjae Spears,TEN,RB,RB20,,77,68.8,-8.2,c9bafdfa-5c62-4a62-b13a-7caa23997be9
Joe Mixon,CIN,RB,RB21,,78,79.5,1.5,76cb5c9f-c7ec-4aa7-ac5d-187a7832b919
Rhamondre Stevenson,NE,RB,RB22,,79,72.1,-6.9,2093033a-19e7-4d50-8530-4c5f06ee4547
David Njoku,CLE,TE,TE8,,80,88.1,8.1,26319c24-3df9-4afd-bc87-a53666983e73
David Montgomery,DET,RB,RB23,,81,73.2,-7.8,519fcac4-ab91-45f6-92a1-ec8f93c23343
Brian Robinson Jr.,WAS,RB,RB24,,82,91.1,9.1,f1206b2a-2812-464a-bbb0-5d4e9bdffc29
Evan Engram,JAX,TE,TE9,,83,85.0,2.0,eaa28c34-ceef-4bfa-b309-608c495e4baf
Jake Ferguson,DAL,TE,TE10,,84,92.7,8.7,6b12c17b-8193-403f-86b8-23db1e12cfdc
Christian Watson,GB,WR,WR42,,85,81.4,-3.6,6adda869-6c17-41da-a426-9d61df733674
Tony Pollard,DAL,RB,RB25,,86,75.9,-10.1,cbe541f5-95a3-4cd6-9a8e-c19a80cecd0a
Justin Herbert,LAC,QB,QB10,,87,80.7,-6.3,76411066-421a-4683-9e9e-6bacb34abafd
Jaylen Warren,PIT,RB,RB26,,88,97.9,9.9,76f4f14c-1871-4809-9ff4-5e96dcfea8f6
James Conner,ARI,RB,RB27,,89,83.6,-5.4,c08e17c9-8479-4fb9-b1c1-1c9ed15e6954
Raheem Mostert,MIA,RB,RB28,,90,89.5,-0.5,2e2e8d81-7e99-4958-ada4-1509e0ea4b63
Brock Purdy,SF,QB,QB11,,91,91.9,0.9,e1a9ad71-1d2c-4538-820a-03a2dc376c7a
Jordan Love,GB,QB,QB12,,92,85.7,-6.3,b70935ac-43aa-43bd-ae05-8d55277487e7
Kyle Pitts,ATL,TE,TE11,,93,95.6,2.6,a1da3bd8-4bf9-4244-b9ef-f79499e51abc
Kyler Murray,ARI,QB,QB13,,94,92.0,-2.0,205effbe-0107-403c-a680-7af3f5b1db85
Jakobi Meyers,LV,WR,WR43,,95,102.7,7.7,007b5c65-98f7-4388-9f4c-248aff596733
Josh Downs,IND,WR,WR44,,96,107.5,11.5,7c315426-21f3-4bc5-8a71-0b470fc4a655
Javonte Williams,DEN,RB,RB29,,97,95.3,-1.7,3e1f9292-70ea-4b63-8cde-f74edfb5cbab
Nick Chubb,CLE,RB,RB30,,98,66.7,-31.3,66bfea6e-52c0-45e8-8d29-11775a5fc688
Courtland Sutton,DEN,WR,WR45,,99,99.9,0.9,1e2b1fdb-d8b5-4868-9cff-61590106f3ce
Dallas Goedert,PHI,TE,TE12,,100,108.6,8.6,98a793ce-a53d-4849-8e5a-3875cf7a8657
Tua Tagovailoa,MIA,QB,QB14,,101,105.4,4.4,8677d545-9570-487e-aa86-d0508eb9cc9c
Caleb Williams,FA,QB,QB15,Rookie,102,109.4,7.4,e5f824d4-05ac-40cc-95c4-c6a3eb25a9b2
D'Andre Swift,PHI,RB,RB31,,103,97.8,-5.2,cd7ec2fb-18ad-4fdf-a956-318580d61e85
Troy Franklin,FA,WR,WR46,Rookie,104,116.2,12.2,f3247845-09bb-4cd0-875d-3036d1a691be
Trevor Lawrence,JAX,QB,QB16,,105,109.2,4.2,0ec6d01f-1b37-4a50-bcc7-1d5fb2597bd8
Chase Brown,CIN,RB,RB32,,106,108.0,2.0,97e07da1-d902-4956-9085-3dec533040f6
Marquise Brown,ARI,WR,WR47,,107,107.1,0.1,4c00e812-09b4-473d-a282-d143ffdc1171
Romeo Doubs,GB,WR,WR48,,108,100.7,-7.3,bdb5c2c0-692f-4ea2-b80d-a8ac1bf04d69
Diontae Johnson,PIT,WR,WR49,,109,101.0,-8.0,6362a861-11a3-4273-a5d8-235fc61190bc
Tyler Lockett,SEA,WR,WR50,,110,118.2,8.2,51429f63-0724-4ca6-b04e-410d02d72830
Mike Williams,LAC,WR,WR51,,111,101.8,-9.2,b2fbc02d-5a93-4877-b3b4-ded641ec4129
Jared Goff,DET,QB,QB17,,112,112.5,0.5,833945b8-d07e-42a2-8d1a-5f5694a62ae5
Jameson Williams,DET,WR,WR52,,113,102.0,-11.0,9cff9837-7a33-4300-9563-eb39f613bf70
Chuba Hubbard,CAR,RB,RB33,,114,120.4,6.4,79b08415-7051-4b28-8541-d66e1a7b5585
Cole Kmet,CHI,TE,TE13,,115,115.6,0.6,dec719f7-3b7d-4340-a9f1-c00eab38e7e4
Khalil Shakir,BUF,WR,WR53,,116,113.4,-2.6,1e495a09-4110-43e3-8928-d4de02ddbb21
Jonathon Brooks,FA,RB,RB34,Rookie,117,132.6,15.6,34da92d4-628d-4a4b-bad8-f9df4c5c2b71
Rashid Shaheed,NO,WR,WR54,,118,132.0,14.0,9c5c7035-d580-46b8-820d-f8708f168aad
Matthew Stafford,LA,QB,QB18,,119,128.3,9.3,3e5ea92a-97f6-4480-ab34-f481640679cd
Ty Chandler,MIN,RB,RB35,,120,124.4,4.4,b7a0fba8-5824-4e0c-b36b-6dc67da38c73
Keon Coleman,FA,WR,WR55,Rookie,121,114.2,-6.8,0863a1bb-1ea2-4bfb-97f4-1643e7823d52
Jerry Jeudy,DEN,WR,WR56,,122,126.9,4.9,990c1cc3-8669-4b0d-bd1c-238544fb5dc6
Drake Maye,FA,QB,QB19,Rookie,123,155.5,32.5,95165503-e925-459e-8998-46c96f2d9960
T.J. Hockenson,MIN,TE,TE14,,124,97.3,-26.7,5f355401-717b-4485-be04-a4870b06a17c
Xavier Worthy,FA,WR,WR57,Rookie,125,144.2,19.2,dec490f6-9811-44a3-80bb-b9cb39ff36da
Adonai Mitchell,FA,WR,WR58,Rookie,126,132.0,6.0,c7fbe425-9c93-44e5-a8b0-d2832f6116e0
Dontayvion Wicks,GB,WR,WR59,,127,136.9,9.9,bf9e5894-5685-4f6c-bf5d-b3e1686ba991
Adam Thielen,CAR,WR,WR60,,128,153.0,25.0,c77cb808-0163-4f81-87e0-81f5eee68a69
Devin Singletary,HOU,RB,RB36,,129,117.3,-11.7,e8144d7f-4bf4-48c5-a28a-160894e5ebea
Zach Charbonnet,SEA,RB,RB37,,130,125.6,-4.4,d4bea150-b351-475d-b4dd-f1bca74aca42
Zamir White,LV,RB,RB38,,131,128.2,-2.8,a8cfdfde-c46e-4a1a-9d87-a5c1f90bf13b
Roschon Johnson,CHI,RB,RB39,,132,123.0,-9.0,0c8d8d98-f0a8-475c-8dba-eddf3c3d1c3f
Jaleel McLaughlin,DEN,RB,RB40,,133,156.0,23.0,179ff4a3-138f-4c89-8b00-b3f5750d8f0e
Khalil Herbert,CHI,RB,RB41,,134,143.5,9.5,b0f9829d-6a7c-4414-8e6c-c4dfa21ebff8
Luke Musgrave,GB,TE,TE15,,135,130.4,-4.6,05019007-1f0a-4714-b854-c83c85965b68
Dalton Schultz,HOU,TE,TE16,,136,130.8,-5.2,ad125c9a-01a9-4536-87f4-9fe9d6c89389
Jahan Dotson,WAS,WR,WR61,,137,119.5,-17.5,f6916894-b138-4de7-b801-a97198d61ead
Jayden Daniels,FA,QB,QB20,Rookie,138,120.2,-17.8,dfd5aac5-5e3f-4c96-8a82-e315d1cc95e7
Trey Benson,FA,RB,RB42,Rookie,139,139.3,0.3,3740ba95-1373-4e01-823e-fd9eef671283
